epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
65,0.8442803,0.13346653,0.20429175,0.13559316,660.0,-9.236812,0.4,1320.0,0.15
66,0.8440132,0.13343892,0.20413125,0.13588096,670.0,-11.315842,0.6,1340.0,0.15
67,0.8437627,0.13353883,0.20404463,0.13617167,680.0,-11.006386,0.5,1360.0,0.3
68,0.84393716,0.13349609,0.20401928,0.13607498,690.0,-9.086239,0.4,1380.0,0.25
69,0.84381866,0.13295013,0.20401962,0.13594411,700.0,-8.417956,0.5,1400.0,0.45
70,0.84376574,0.13307263,0.20384993,0.13622004,710.0,-10.919397,0.2,1420.0,0.3
71,0.8438317,0.13293599,0.20354074,0.13659203,720.0,-6.482011,0.5,1440.0,0.25
72,0.8436289,0.13301036,0.20338024,0.13689691,730.0,-8.140424,0.6,1460.0,0.25
73,0.8436969,0.13293967,0.20344418,0.13673072,740.0,-6.2507467,0.7,1480.0,0.2
74,0.84386015,0.13269483,0.20325291,0.1366283,750.0,-7.1667395,0.5,1500.0,0.2
75,0.8438303,0.13279833,0.20320891,0.13696383,760.0,-8.808389,0.5,1520.0,0.3
76,0.84408194,0.1328579,0.203163,0.13701935,770.0,-4.8964834,0.7,1540.0,0.2
77,0.8440664,0.13275452,0.20326397,0.13722765,780.0,-10.817511,0.7,1560.0,0.1
78,0.8439974,0.1327285,0.203109,0.13735205,790.0,-12.051123,0.4,1580.0,0.2
79,0.8438969,0.13300796,0.20305574,0.13781376,800.0,-9.630953,0.6,1600.0,0.15
80,0.8439103,0.133119,0.20302492,0.13755763,810.0,-6.545429,0.7,1620.0,0.35
81,0.84345126,0.13313194,0.2029574,0.13765417,820.0,-11.623014,0.4,1640.0,0.2
82,0.8435585,0.1329463,0.2031397,0.13775581,830.0,-6.277051,0.7,1660.0,0.25
83,0.843308,0.13310666,0.20308536,0.13792424,840.0,-10.385504,0.4,1680.0,0.15
84,0.84338665,0.13320337,0.20318577,0.13819349,850.0,-10.027129,0.5,1700.0,0.4
85,0.84350127,0.13314597,0.203201,0.13801199,860.0,-5.2569,0.8,1720.0,0.3
86,0.8435695,0.13277222,0.20319447,0.13786404,870.0,-11.945475,0.5,1740.0,0.4
87,0.8436527,0.13256781,0.20322624,0.13787326,880.0,-6.207221,0.8,1760.0,0.3
88,0.8437827,0.13236651,0.2033844,0.13775577,890.0,-9.937685,0.6,1780.0,0.25
89,0.8437703,0.1319613,0.20329897,0.13754867,900.0,-12.251489,0.4,1800.0,0.55
90,0.8437221,0.1318305,0.20330992,0.13762654,910.0,-7.830289,0.7,1820.0,0.4
91,0.8438017,0.13250063,0.20354491,0.13791624,920.0,-9.008075,0.6,1840.0,0.15
92,0.84387475,0.13229053,0.20340833,0.13773453,930.0,-9.434027,0.6,1860.0,0.35
93,0.84393215,0.13196881,0.2034388,0.13746956,940.0,-8.043341,0.7,1880.0,0.4
94,0.84415954,0.13190378,0.20351215,0.13735761,950.0,-10.693575,0.5,1900.0,0.25
95,0.8441523,0.13177644,0.2034169,0.13728046,960.0,-5.260296,0.6,1920.0,0.3
96,0.8441725,0.13140902,0.2034303,0.13710354,970.0,-8.017632,0.3,1940.0,0.55
97,0.84436935,0.13103169,0.20351778,0.13706686,980.0,-10.042676,0.5,1960.0,0.4
98,0.84444803,0.13070484,0.20361239,0.13711584,990.0,-6.862498,0.8,1980.0,0.4
99,0.8446348,0.1305658,0.2036304,0.13709421,1000.0,-6.1856465,0.7,2000.0,0.4
100,0.8444708,0.13071598,0.20367554,0.1372752,1010.0,-3.3483868,0.8,2020.0,0.5
101,0.84453636,0.13062418,0.2037592,0.13727257,1020.0,-10.129329,0.6,2040.0,0.35
102,0.84445137,0.13065755,0.20377497,0.13715316,1030.0,-9.787733,0.6,2060.0,0.4
103,0.84449786,0.13046838,0.20372358,0.13723893,1040.0,-6.392433,0.7,2080.0,0.55
104,0.8446691,0.13036928,0.20376527,0.1372768,1050.0,-5.83697,0.4,2100.0,0.35
105,0.84468573,0.13015068,0.20356901,0.13729516,1060.0,-6.7309394,0.7,2120.0,0.35
106,0.844696,0.12994109,0.20353049,0.13732944,1070.0,-12.516159,0.5,2140.0,0.4
107,0.84482163,0.12977739,0.20350863,0.13721833,1080.0,-7.3713675,0.7,2160.0,0.25
108,0.8449666,0.12953891,0.20353821,0.13706355,1090.0,-6.747145,0.5,2180.0,0.4
109,0.845082,0.12924062,0.20359297,0.1368391,1100.0,-9.108278,0.3,2200.0,0.55
110,0.8451906,0.12941,0.20353195,0.13694993,1110.0,-4.200061,0.8,2220.0,0.25
111,0.84522885,0.12931205,0.2035485,0.13678814,1120.0,-5.9485006,0.6,2240.0,0.4
112,0.84530884,0.12934513,0.20356382,0.13664728,1130.0,-5.410835,0.6,2260.0,0.25
113,0.8455756,0.1295059,0.203549,0.1365014,1140.0,-3.8675952,0.9,2280.0,0.3
114,0.84562844,0.12938188,0.20359091,0.13650303,1150.0,-5.947001,0.7,2300.0,0.3
115,0.8456628,0.12929839,0.20353256,0.13637573,1160.0,-2.8534915,0.7,2320.0,0.4
116,0.84569645,0.12918542,0.20357856,0.13620895,1170.0,-3.9679554,0.8,2340.0,0.4
117,0.8457966,0.12891574,0.2035565,0.1361544,1180.0,-7.1372976,0.6,2360.0,0.35
118,0.84566,0.12874898,0.2034487,0.1361171,1190.0,-8.778101,0.5,2380.0,0.35
119,0.84567946,0.1285947,0.2033636,0.13606973,1200.0,-4.0918536,0.6,2400.0,0.35
120,0.84561557,0.12827651,0.20328604,0.13583334,1210.0,-2.8079433,0.9,2420.0,0.7
121,0.8456896,0.12812011,0.20326675,0.13568129,1220.0,-2.0574296,0.9,2440.0,0.55
122,0.84578115,0.12791528,0.20332876,0.1354447,1230.0,-4.1276536,0.9,2460.0,0.35
123,0.8457446,0.12788832,0.20332241,0.13540874,1240.0,-2.0677283,1.0,2480.0,0.35
124,0.84586126,0.1278285,0.20335281,0.13541308,1250.0,-5.005788,0.9,2500.0,0.4
125,0.8457921,0.12762918,0.20331573,0.13541125,1260.0,-7.5541525,0.7,2520.0,0.3
126,0.8458708,0.12748931,0.20330994,0.13524595,1270.0,-6.147606,0.8,2540.0,0.35
127,0.8459905,0.12739383,0.2031896,0.13519262,1280.0,-2.3041635,1.0,2560.0,0.4
128,0.8459067,0.1273812,0.20322348,0.1352937,1290.0,-4.7912636,0.9,2580.0,0.3
129,0.8459917,0.1270829,0.20320635,0.1352261,1300.0,-3.128302,0.9,2600.0,0.7
130,0.84584945,0.12712611,0.20315598,0.13543873,1310.0,-3.6346977,0.6,2620.0,0.65
131,0.8458433,0.12702717,0.20312934,0.13535734,1320.0,-3.1685832,0.8,2640.0,0.3
132,0.84585625,0.12675932,0.20313376,0.13524811,1330.0,-3.6762538,0.8,2660.0,0.45
133,0.8459677,0.12677519,0.2031314,0.13528657,1340.0,-5.7653837,0.9,2680.0,0.35
134,0.8459378,0.12653744,0.20306408,0.1351791,1350.0,-6.238446,0.7,2700.0,0.55
135,0.84580654,0.12635471,0.20305607,0.13501227,1360.0,-5.9784245,0.6,2720.0,0.55
136,0.84588575,0.12621927,0.20296751,0.13481839,1370.0,-2.6005263,0.8,2740.0,0.7
137,0.8457753,0.12614858,0.20290765,0.13483126,1380.0,-3.9153965,0.8,2760.0,0.3
138,0.845825,0.12590422,0.2029138,0.13478869,1390.0,-3.0390913,0.9,2780.0,0.6
139,0.84590834,0.12603009,0.20292906,0.13467664,1400.0,-1.7731683,0.9,2800.0,0.35
140,0.8459006,0.12582918,0.20291784,0.13456081,1410.0,-4.025444,0.7,2820.0,0.5
141,0.84585446,0.12560874,0.20278537,0.13445196,1420.0,-5.9372034,0.7,2840.0,0.45
142,0.84581965,0.12578386,0.20283332,0.13459143,1430.0,-5.227297,0.8,2860.0,0.35
143,0.8458543,0.12563866,0.20283829,0.13439962,1440.0,-4.226757,0.8,2880.0,0.55
144,0.84592944,0.12547429,0.20281835,0.13437311,1450.0,-2.9215667,0.8,2900.0,0.4
